Date,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BPAC11,BRDT3,BRFS3,BRML3,BTOW3,CCRO3,CMIG4,COGN3,EGIE3,ELET3,EMBR3,EQTL3,GGBR4,GNDI3,HAPV3,HYPE3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,NTCO3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TIMP3,UGPA3,VALE3,VIVT4,VVAR3,WEGE3,YDUQ3,IBOV
2015-01-02,13.735766410827637,,7.868708610534668,16.575063705444336,12.4479341506958,11.679097175598145,19.17258644104004,,,60.02693176269531,9.068053245544434,21.140300750732422,11.53070068359375,8.877352714538574,13.185505867004395,16.612987518310547,4.939217567443848,23.947771072387695,3.882352352142334,8.420019149780273,,,13.919022560119629,,4.6735992431640625,13.575268745422363,9.65842342376709,11.771648406982422,13.411822319030762,10.474427223205566,0.4779706299304962,,89.30411529541016,8.439525604248047,8.683293342590332,18.554244995117188,23.6510066986084,,8.61672306060791,9.268891334533691,14.405041694641113,8.915033340454102,18.820037841796875,10.27218246459961,20.80756950378418,17.994937896728516,29.46822738647461,6.543555736541748,10.334235191345215,16.9746150970459,48512.0
2015-01-05,13.487112998962402,,7.653575897216797,16.231124877929688,12.30202579498291,11.711016654968262,18.597726821899414,,,58.887786865234375,8.973919868469238,20.464599609375,11.201699256896973,8.648478507995605,12.223322868347168,16.633365631103516,4.84322452545166,23.417743682861328,3.734117031097412,8.034368515014648,,,13.944811820983887,,4.688889503479004,13.643513679504395,9.704197883605957,11.48332691192627,13.045832633972168,10.183210372924805,0.48695263266563416,,88.53300476074219,7.754988193511963,7.941135406494141,18.720712661743164,23.490116119384766,,8.258527755737305,9.203310012817383,14.405041694641113,8.731764793395996,18.820037841796875,10.027191162109375,20.25308609008789,17.724332809448242,29.130638122558594,6.543555736541748,10.404633522033691,15.958449363708496,47517.0
2015-01-06,14.00156307220459,,7.728045463562012,16.457975387573242,12.630067825317383,12.09628677368164,19.387371063232422,,,59.41874694824219,9.05626392364502,20.522499084472656,11.366199493408203,8.572138786315918,11.403679847717285,16.9695987701416,4.886855602264404,22.99372100830078,3.9444706439971924,8.87912368774414,,,13.626714706420898,,4.7245683670043945,13.864195823669434,9.475324630737305,11.862257957458496,13.371976852416992,10.300516128540039,0.48053687810897827,,90.8177490234375,7.558065414428711,7.68137788772583,18.998159408569336,24.171533584594727,,8.425369262695312,9.268891334533691,14.36216926574707,8.519150733947754,18.820037841796875,10.009690284729004,20.281835556030273,18.434659957885742,29.111473083496094,6.543555736541748,10.250313758850098,15.02696418762207,48001.0
2015-01-07,14.19876480102539,,8.034191131591797,17.182453155517578,13.187826156616211,12.57701301574707,19.077831268310547,,,62.073524475097656,9.403495788574219,20.319799423217773,12.220035552978516,8.572138786315918,11.234408378601074,17.397533416748047,5.061391830444336,22.820253372192383,3.910588502883911,9.531057357788086,,,14.443458557128906,,4.902950286865234,14.365787506103516,9.740817070007324,11.985823631286621,13.523124694824219,10.4757661819458,0.4965762495994568,,92.34088897705078,7.923778057098389,8.043181419372559,18.72765350341797,24.587961196899414,,8.513659477233887,9.655095100402832,14.662274360656738,8.497098922729492,18.820037841796875,10.044687271118164,20.83221435546875,19.111164093017578,29.58289909362793,7.082435607910156,10.132888793945312,14.55737018585205,49463.0
2015-01-08,14.264311790466309,,7.926625728607178,17.240991592407227,13.216944694519043,12.64177417755127,19.02097511291504,,,60.963348388671875,9.48583984375,19.653799057006836,12.36103630065918,8.50281047821045,12.116411209106445,17.575836181640625,4.96539831161499,22.16493797302246,3.882352352142334,9.310686111450195,,,14.409066200256348,,4.953920364379883,14.590551376342773,9.823212623596191,11.97758674621582,13.36402702331543,10.488204956054688,0.49272680282592773,,92.92159271240234,8.458282470703125,8.562694549560547,18.408586502075195,24.654211044311523,,8.368888854980469,9.494781494140625,14.713719367980957,8.372491836547852,18.820037841796875,10.499674797058105,20.618637084960938,19.314111709594727,29.76127052307129,7.082435607910156,10.303961753845215,15.011567115783691,49943.0
2015-01-09,14.229814529418945,,7.719771862030029,16.494569778442383,12.754036903381348,12.092836380004883,18.401893615722656,,,59.64078140258789,9.474052429199219,19.692399978637695,12.180870056152344,8.204609870910645,11.831320762634277,16.22580909729004,4.86067533493042,21.972206115722656,3.6705877780914307,8.888306617736816,,,14.168342590332031,,4.780630111694336,13.952466011047363,9.594338417053223,11.985823631286621,13.117084503173828,10.115583419799805,0.47604596614837646,,90.38935852050781,8.711466789245605,8.8224515914917,18.575056076049805,24.27564239501953,,8.398348808288574,9.400052070617676,14.370743751525879,8.328511238098145,18.820037841796875,10.263432502746582,20.368091583251953,18.899757385253906,29.64020347595215,7.082435607910156,10.257026672363281,14.626653671264648,48840.0
2015-01-12,14.410921096801758,,7.496371746063232,16.209171295166016,12.53900146484375,11.878063201904297,18.825143814086914,,,60.13312911987305,9.168078422546387,19.209699630737305,12.063368797302246,7.9340972900390625,10.79786205291748,15.767311096191406,4.86067533493042,22.07820701599121,3.6296470165252686,8.677117347717285,,,13.979205131530762,,4.6990885734558105,13.615403175354004,9.530254364013672,11.9116849899292,12.671061515808105,10.253594398498535,0.48117855191230774,,88.6758041381836,8.22385025024414,8.200891494750977,18.72765350341797,25.382949829101562,,8.42780590057373,9.210596084594727,14.173532485961914,8.27718448638916,18.820037841796875,10.210933685302734,19.97789764404297,19.144989013671875,29.90773582458496,7.082435607910156,10.19997787475586,13.117798805236816,48140.0
2015-01-13,14.410921096801758,,7.512917518615723,16.11404037475586,12.411399841308594,11.915581703186035,18.433483123779297,,,58.62713623046875,9.1798677444458,19.32550048828125,12.337535858154297,8.045063018798828,11.528409957885742,15.89976692199707,4.817043304443359,21.798738479614258,3.6621170043945312,8.42920207977295,,,13.979205131530762,,4.7143778800964355,13.599377632141113,9.32884693145752,11.804593086242676,13.021471977233887,10.219112396240234,0.47604596614837646,,88.99947357177734,8.280113220214844,8.432816505432129,18.262929916381836,24.843496322631836,,8.44987964630127,9.188733100891113,13.376110076904297,8.225865364074707,18.820037841796875,10.254683494567871,20.17093849182129,19.035057067871094,30.200782775878906,7.101682186126709,10.236879348754883,13.325652122497559,48042.0
2015-01-14,14.454041481018066,,7.661854267120361,16.231124877929688,12.55722713470459,12.041728973388672,18.117624282836914,,,59.64078140258789,9.474052429199219,19.11319923400879,12.580368995666504,8.086703300476074,11.581863403320312,16.76072883605957,4.92176628112793,20.623031616210938,3.769411325454712,8.10782527923584,,,14.013589859008789,,4.739859104156494,13.69165325164795,9.273918151855469,11.57394027709961,13.276369094848633,10.12935733795166,0.46834707260131836,,86.38158416748047,7.9706645011901855,8.265830993652344,18.73458480834961,24.616350173950195,,8.631410598754883,9.312610626220703,13.213194847106934,8.577750205993652,18.820037841796875,10.228432655334473,20.335229873657227,17.504472732543945,30.672157287597656,7.101682186126709,10.401317596435547,13.687470436096191,47646.0
2015-01-15,14.479914665222168,,7.628756523132324,16.128681182861328,12.466085433959961,11.919027328491211,18.477699279785156,,,59.930397033691406,9.532905578613281,19.190399169921875,12.666537284851074,8.246176719665527,11.225500106811523,16.73525047302246,4.8694047927856445,20.78685760498047,3.705881357192993,8.245558738708496,,,14.658388137817383,,4.729669094085693,13.571260452270508,9.749970436096191,11.491562843322754,13.24443531036377,10.242570877075195,0.5108240842819214,,86.52436065673828,8.673957824707031,8.63691234588623,18.505693435668945,24.606891632080078,,8.685372352600098,9.618656158447266,13.436131477355957,8.291849136352539,18.820037841796875,10.47342586517334,20.396839141845703,17.70742416381836,31.341060638427734,7.101682186126709,10.401317596435547,13.156291961669922,48026.0
